Property_Name,Address,Prefix,Price,Sql_m2,Property Type,Property ID,Title,Location,Image,Url
House for Sale in Stueng Mean chey,"Stueng Mean chey, Meanchey, Phnom Penh",For sale,"$300,000",,House,197288,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Meanchey', 'streetAddress': ' '}, 'name': ' ', 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.54190613791883, 'longitude': 104.87692191309623, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Meanchey', 'streetAddress': ' '}}}","['https://images.realestate.com.kh/__sized__/listings/2021-12/1_ZUVOeuy-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/3_EwApcwX-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/6_n9KpJJz-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/4_XC9HICU-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/5_UYZyUZ0-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/stueng-mean-chey/house-197288/
House for Sale in Chaom Chau,"Chaom Chau, Por Sen Chey, Phnom Penh",For sale,"$140,000",,House,197287,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Por Sen Chey'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.513409300757758, 'longitude': 104.86578793442561, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Por Sen Chey'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-54-06-3-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-54-06-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-54-05-2-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-54-06-2-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-54-05-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/chaom-chau/house-197287/
House for Sale in Stueng Mean chey,"Stueng Mean chey, Meanchey, Phnom Penh",For sale,"$105,000",,House,197280,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Meanchey', 'streetAddress': ' '}, 'name': ' ', 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.53191086893601, 'longitude': 104.8903867132878, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Meanchey', 'streetAddress': ' '}}}","['https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-53-22-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-53-23-3-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-53-23-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-53-24-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-53-24-2-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/stueng-mean-chey/house-197280/
House for Sale in Srah Chak,"Srah Chak, Daun Penh, Phnom Penh",For sale,"$153,000",,House,197265,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Daun Penh'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.586522050102843, 'longitude': 104.91408133089669, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Daun Penh'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-41-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-45-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-43-2-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-43-3-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-43-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/srah-chak/house-197265/
House for Sale in Boeung Tumpun,"Boeung Tumpun, Meanchey, Phnom Penh",For sale,"$100,000",,House,197263,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Meanchey', 'streetAddress': '    '}, 'name': '    ', 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.532871264970382, 'longitude': 104.91168875385773, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Meanchey', 'streetAddress': '    '}}}","['https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-25-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-24-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-24-2-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-22-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-23-2-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/boeung-tumpun/house-197263/
House for Sale in Ta Khmao,"Ta Khmao, Ta Khmau, Kandal",For sale,"$95,000",,House,197257,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Kandal', 'addressLocality': 'Ta Khmau'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.442797535829214, 'longitude': 104.96791005617217, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Kandal', 'addressLocality': 'Ta Khmau'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-02-2-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-04-2-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-04-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-01-2-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-06_13-52-01-3-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/ta-khmao/house-197257/
"3 Bed, 3 Bath Villa for Sale in Kandaek","Properties DABEST, Kandaek, Prasat Bakong, Siem Reap",For sale,"$166,000",$692/m²,Villa,DABEST SRV848,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Prasat Bakong', 'streetAddress': 'Properties DABEST'}, 'name': 'Properties DABEST', 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.350778341301265, 'longitude': 103.9041982533231, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Prasat Bakong', 'streetAddress': 'Properties DABEST'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-03/1y3a5831-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a5836-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a5837-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a5839-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a5844-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/kandaek/properties-dabest-154740/
"2 Bed, 2 Bath Villa for Sale in Svay Dankum","PROPERTIES DABEST, Svay Dankum, Siem Reap, Siem Reap",For sale,"$193,000",,Villa,DABEST SRV827,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap', 'streetAddress': 'PROPERTIES DABEST'}, 'name': 'PROPERTIES DABEST', 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.36, 'longitude': 103.86, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap', 'streetAddress': 'PROPERTIES DABEST'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-05/untitled-8604-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/untitled-8609_TFZ2gox-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a5341_sqixp9l_efokwo4_vu3emhc_d2pursw_ea7ixsl_qroobti_Q4GBfeH-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a5342_7qyzgoy_qp0wgj0_bf1aqut_fp0nuhg_ko97uka_egzykrs_R8UFY9U-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a5328_rqgmxet_nvjx9b4_kjma1eu_c3nbcj8_elovkqs_qi2tdjr_umAvfqV-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/svay-dankum/properties-dabest-153486/
Chankiri Palm Creek,"Preaek Kampues, Dangkao, Phnom Penh",For sale,"$149,888",,Villa,Hard Title,4 to 4,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Dangkao'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.444031380875813, 'longitude': 104.90534313983602, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Dangkao'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-09/evening-at-chankiri-web-banner-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/chankiri-villa-klem-front-view-facade-1-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/chankiri-villa-plous-front-view-facade-daytime2-1-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-04/ub-1_wgetj52-thumbnail-400x300.png', 'https://images.realestate.com.kh/__sized__/listings/2021-04/borey-ck_wmhojog-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/boreys/chankiri-palm-creek/
"4 Bed, 5 Bath House for Sale in WorldBridge Sport Village",WorldBridge Sport Village,For sale,"$204,402","$1,362/m²",House,9 months ago,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Chroy Changvar', 'streetAddress': 'Blvd Win Win'}, 'name': 'Blvd Win Win', 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.690866678599818, 'longitude': 104.87807425787253, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Chroy Changvar', 'streetAddress': 'Blvd Win Win'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-08/185-semid-villas-2_dpw0rze_p8kkfxf-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-08/bedroom_dlxnwyf_wv8ozvv_WhPj9tb-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-08/living-room_qqilk7x_hmelagr_D2ktaBW-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-08/185-sport-village-aerial-2_b21x58y_sm3nciw_ka1ngfw_usRiOM5-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-08/wbsv-semi-d-villas-floor-plan_eng_fa_low-re-2-1_54rn7rv_yv8iar4_ou9ba8z_4ygm4mn_r56wuat_l9tazun_xialy0t_pcli2cr-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/new-developments/worldbridge-sport-village/4-bed-5-bath-house-160684/
"3 Bed, 5 Bath House for Sale in WorldBridge Sport Village",WorldBridge Sport Village,For sale,"$132,298","$1,959/m²",House,9 months ago,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Chroy Changvar', 'streetAddress': 'Win Win Blvd'}, 'name': 'Win Win Blvd', 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.690215852011036, 'longitude': 104.87810511541022, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Chroy Changvar', 'streetAddress': 'Win Win Blvd'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-08/185-row-house-2_twdasif_im5dzwq-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-08/dining_0rvlrbc_bbfsuap-thumbnail-400x300.png', 'https://images.realestate.com.kh/__sized__/listings/2021-08/bedroom-3_3t7qg8i_ynpqkjj-thumbnail-400x300.png', 'https://images.realestate.com.kh/__sized__/listings/2021-08/185-sport-village-aerial-2_ivbyl5u_ddmdfim-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-08/wbsv-row-hse-floor-plan_eng_fa_low-re-2_fvxbsrs_hstz8wi_ieytexm-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/new-developments/worldbridge-sport-village/3-bed-5-bath-house-160680/
